iter	Passed	Remaining
1391	3918	1711
1392	3921	1708
1393	3923	1705
1394	3926	1702
1395	3929	1700
1396	3932	1697
1397	3934	1694
1398	3937	1691
1399	3939	1688
1400	3942	1685
1401	3945	1682
1402	3948	1679
1403	3950	1677
1404	3953	1674
1405	3955	1671
1406	3958	1668
1407	3961	1665
1408	3964	1662
1409	3966	1659
1410	3969	1656
1411	3972	1654
1412	3974	1651
1413	3977	1648
1414	3980	1645
1415	3982	1642
1416	3985	1639
1417	3988	1636
1418	3990	1633
1419	3993	1631
1420	3995	1628
1421	3998	1625
1422	4001	1622
1423	4004	1619
1424	4006	1616
1425	4009	1613
1426	4011	1610
1427	4014	1608
1428	4016	1605
1429	4019	1602
1430	4021	1599
1431	4024	1596
1432	4027	1593
1433	4029	1590
1434	4032	1587
1435	4035	1584
1436	4038	1582
1437	4040	1579
1438	4043	1576
1439	4046	1573
1440	4048	1570
1441	4051	1567
1442	4053	1564
1443	4056	1561
1444	4059	1559
1445	4061	1556
1446	4064	1553
1447	4067	1550
1448	4070	1547
1449	4072	1544
1450	4075	1542
1451	4078	1539
1452	4081	1536
1453	4083	1533
1454	4086	1530
1455	4089	1527
1456	4091	1525
1457	4094	1522
1458	4097	1519
1459	4100	1516
1460	4102	1513
1461	4105	1510
1462	4108	1508
1463	4111	1505
1464	4113	1502
1465	4116	1499
1466	4118	1496
1467	4121	1493
1468	4124	1490
1469	4126	1487
1470	4129	1485
1471	4132	1482
1472	4134	1479
1473	4138	1476
1474	4140	1473
1475	4143	1471
1476	4146	1468
1477	4149	1465
1478	4152	1462
1479	4154	1459
1480	4157	1457
1481	4160	1454
1482	4163	1451
1483	4165	1448
1484	4168	1445
1485	4171	1442
1486	4173	1439
1487	4176	1437
1488	4179	1434
1489	4181	1431
1490	4184	1428
1491	4186	1425
1492	4189	1422
1493	4192	1419
1494	4194	1416
1495	4197	1414
1496	4200	1411
1497	4203	1408
1498	4206	1405
1499	4208	1402
1500	4211	1400
1501	4214	1397
1502	4217	1394
1503	4220	1391
1504	4223	1389
1505	4226	1386
1506	4228	1383
1507	4231	1380
1508	4234	1377
1509	4236	1374
1510	4239	1372
1511	4242	1369
1512	4244	1366
1513	4247	1363
1514	4249	1360
1515	4252	1357
1516	4255	1354
1517	4258	1352
1518	4260	1349
1519	4263	1346
1520	4265	1343
1521	4268	1340
1522	4271	1337
1523	4273	1334
1524	4276	1332
1525	4279	1329
1526	4281	1326
1527	4284	1323
1528	4287	1320
1529	4289	1317
1530	4292	1314
1531	4295	1312
1532	4297	1309
1533	4300	1306
1534	4303	1303
1535	4305	1300
1536	4308	1297
1537	4310	1294
1538	4313	1292
1539	4315	1289
1540	4318	1286
1541	4321	1283
1542	4323	1280
1543	4326	1277
1544	4328	1274
1545	4331	1271
1546	4333	1269
1547	4336	1266
1548	4339	1263
1549	4341	1260
1550	4344	1257
1551	4347	1254
1552	4349	1252
1553	4352	1249
1554	4354	1246
1555	4357	1243
1556	4359	1240
1557	4362	1237
1558	4365	1234
1559	4367	1231
1560	4370	1229
1561	4372	1226
1562	4375	1223
1563	4377	1220
1564	4380	1217
1565	4382	1214
1566	4385	1211
1567	4388	1209
1568	4390	1206
1569	4393	1203
1570	4396	1200
1571	4398	1197
1572	4401	1194
1573	4404	1192
1574	4407	1189
1575	4410	1186
1576	4412	1183
1577	4415	1180
1578	4418	1178
1579	4421	1175
1580	4423	1172
1581	4426	1169
1582	4429	1166
1583	4432	1163
1584	4435	1161
1585	4437	1158
1586	4440	1155
1587	4443	1152
1588	4446	1150
1589	4448	1147
1590	4451	1144
1591	4453	1141
1592	4456	1138
1593	4458	1135
1594	4462	1133
1595	4464	1130
1596	4468	1127
1597	4470	1124
1598	4474	1122
1599	4477	1119
1600	4480	1116
1601	4483	1113
1602	4486	1111
1603	4489	1108
1604	4492	1105
1605	4495	1102
1606	4497	1099
1607	4500	1097
1608	4503	1094
1609	4506	1091
1610	4509	1088
1611	4512	1086
1612	4515	1083
1613	4518	1080
1614	4522	1078
1615	4524	1075
1616	4527	1072
1617	4530	1069
1618	4533	1066
1619	4536	1064
1620	4539	1061
1621	4541	1058
1622	4544	1055
1623	4547	1052
1624	4550	1050
1625	4553	1047
1626	4556	1044
1627	4559	1041
1628	4562	1039
1629	4565	1036
1630	4568	1033
1631	4571	1030
1632	4574	1028
1633	4577	1025
1634	4580	1022
1635	4583	1019
1636	4586	1016
1637	4588	1014
1638	4591	1011
1639	4594	1008
1640	4597	1005
1641	4600	1003
1642	4603	1000
1643	4606	997
1644	4609	994
1645	4612	991
1646	4615	989
1647	4618	986
1648	4620	983
1649	4623	980
1650	4626	978
1651	4629	975
1652	4632	972
1653	4635	969
1654	4638	966
1655	4641	964
1656	4644	961
1657	4647	958
1658	4650	955
1659	4654	953
1660	4657	950
1661	4660	947
1662	4664	945
1663	4667	942
1664	4670	939
1665	4673	936
1666	4675	934
1667	4679	931
1668	4682	928
1669	4686	926
1670	4689	923
1671	4692	920
1672	4694	917
1673	4697	914
1674	4700	912
1675	4703	909
1676	4706	906
1677	4709	903
1678	4711	900
1679	4714	897
1680	4717	895
1681	4720	892
1682	4722	889
1683	4725	886
1684	4728	883
1685	4731	881
1686	4733	878
1687	4736	875
1688	4739	872
1689	4742	869
1690	4745	867
1691	4747	864
1692	4750	861
1693	4752	858
1694	4755	855
1695	4758	852
1696	4761	850
1697	4764	847
1698	4767	844
1699	4770	841
1700	4774	839
1701	4777	836
1702	4780	833
1703	4783	831
1704	4786	828
